,literal,stroke_count,grade,freq,jlpt
0,一,1,1.0,2.0,4.0
1,丁,2,3.0,1312.0,1.0
2,七,2,1.0,115.0,4.0
3,万,3,2.0,375.0,4.0
4,丈,3,8.0,1375.0,1.0
5,三,3,1.0,14.0,4.0
6,上,3,1.0,35.0,4.0
7,下,3,1.0,97.0,4.0
8,不,4,4.0,101.0,3.0
9,与,3,8.0,308.0,2.0
10,世,5,3.0,135.0,3.0
11,丘,5,8.0,1405.0,1.0
12,丙,5,8.0,247.0,1.0
13,両,6,3.0,599.0,2.0
14,並,8,6.0,11.0,2.0
15,中,4,1.0,542.0,4.0
16,丸,3,2.0,1402.0,2.0
17,丹,4,8.0,95.0,1.0
18,主,5,3.0,688.0,3.0
19,久,3,5.0,1646.0,2.0
20,乏,4,8.0,377.0,1.0
21,乗,9,3.0,1841.0,3.0
22,乙,1,8.0,55.0,1.0
23,九,2,1.0,755.0,4.0
24,乱,7,6.0,1289.0,2.0
25,乳,8,6.0,1453.0,2.0
26,乾,11,8.0,1353.0,2.0
27,亀,11,8.0,792.0,1.0
28,了,2,8.0,180.0,2.0
29,予,4,3.0,271.0,2.0
30,争,6,4.0,18.0,2.0
31,事,8,3.0,9.0,3.0
32,二,2,1.0,914.0,4.0
33,互,4,8.0,31.0,2.0
34,五,4,1.0,339.0,4.0
35,井,4,4.0,1509.0,1.0
36,亜,7,8.0,661.0,1.0
37,亡,3,6.0,178.0,2.0
38,交,6,2.0,1893.0,2.0
39,享,8,8.0,74.0,1.0
40,京,8,2.0,1627.0,3.0
41,亭,9,8.0,5.0,1.0
42,人,2,1.0,1332.0,4.0
43,仁,4,6.0,49.0,1.0
44,今,4,2.0,617.0,4.0
45,介,4,8.0,819.0,2.0
46,仏,4,5.0,439.0,2.0
47,仕,5,3.0,543.0,3.0
48,他,5,3.0,322.0,2.0
49,付,5,4.0,1157.0,2.0
50,仙,5,8.0,66.0,1.0
51,代,5,3.0,804.0,3.0
52,令,5,4.0,126.0,2.0
53,以,5,4.0,1039.0,3.0
54,仮,6,5.0,1573.0,2.0
55,仰,6,8.0,919.0,1.0
56,仲,6,4.0,212.0,2.0
57,件,6,5.0,217.0,2.0
58,任,6,5.0,278.0,2.0
59,企,6,8.0,1604.0,1.0
60,伎,6,8.0,1816.0,1.0
61,伏,6,8.0,642.0,1.0
62,伐,6,8.0,4.0,1.0
63,休,6,1.0,416.0,4.0
64,会,6,2.0,1741.0,4.0
65,伝,6,4.0,886.0,2.0
66,伯,7,8.0,730.0,1.0
67,伴,7,8.0,2209.0,1.0
68,伸,7,8.0,923.0,2.0
69,伺,7,8.0,276.0,2.0
70,似,7,5.0,435.0,2.0
71,位,7,4.0,270.0,2.0
72,低,7,4.0,474.0,3.0
73,住,7,3.0,88.0,3.0
74,佐,7,4.0,340.0,1.0
75,体,7,2.0,680.0,3.0
76,何,7,2.0,103.0,4.0
77,余,7,5.0,1643.0,2.0
78,作,7,2.0,966.0,3.0
79,佳,8,8.0,219.0,1.0
80,併,8,8.0,399.0,1.0
81,使,8,3.0,1939.0,3.0
82,例,8,4.0,313.0,2.0
83,侍,8,8.0,906.0,1.0
84,供,8,6.0,250.0,2.0
85,依,8,8.0,2004.0,2.0
86,価,8,5.0,2363.0,2.0
87,侮,8,8.0,1025.0,1.0
88,侯,9,8.0,729.0,1.0
89,侵,9,8.0,232.0,1.0
90,侶,9,8.0,998.0,3.0
91,便,9,4.0,1007.0,2.0
92,係,9,3.0,1610.0,1.0
93,促,9,8.0,146.0,1.0
94,俊,9,8.0,208.0,1.0
95,俗,9,8.0,603.0,2.0
96,保,9,5.0,1137.0,2.0
97,信,9,4.0,1481.0,2.0
98,修,10,5.0,1834.0,1.0
99,俳,10,6.0,1114.0,1.0
100,俵,10,6.0,451.0,1.0
101,俸,10,8.0,714.0,1.0
102,倉,10,4.0,791.0,2.0
103,個,10,5.0,510.0,2.0
104,倍,10,3.0,932.0,2.0
105,倒,10,8.0,2454.0,2.0
106,候,10,4.0,518.0,3.0
107,借,10,4.0,1322.0,1.0
108,倣,10,8.0,2479.0,2.0
109,値,10,6.0,1639.0,1.0
110,倫,10,8.0,1340.0,1.0
111,倹,10,8.0,733.0,2.0
112,偉,12,8.0,572.0,1.0
113,偏,11,8.0,216.0,2.0
114,停,11,5.0,1857.0,2.0
115,健,11,4.0,1602.0,2.0
116,側,11,4.0,1171.0,1.0
117,偵,11,8.0,1660.0,2.0
118,偶,11,8.0,1926.0,1.0
119,偽,11,8.0,1694.0,1.0
120,傍,12,8.0,356.0,1.0
121,傑,13,8.0,536.0,1.0
122,傘,12,8.0,728.0,2.0
123,備,12,5.0,845.0,1.0
124,催,13,8.0,938.0,1.0
125,傲,13,8.0,417.0,1.0
126,債,13,8.0,856.0,2.0
127,傷,13,6.0,1236.0,3.0
128,傾,13,8.0,709.0,2.0
129,僅,12,8.0,1724.0,1.0
130,働,13,4.0,739.0,1.0
131,像,14,5.0,716.0,1.0
132,僕,14,8.0,2162.0,1.0
133,僚,14,8.0,854.0,2.0
134,僧,13,8.0,334.0,1.0
135,儀,15,8.0,192.0,1.0
136,億,15,4.0,1219.0,2.0
137,儒,16,8.0,949.0,3.0
138,償,17,8.0,1174.0,3.0
139,優,17,6.0,173.0,1.0
140,元,4,2.0,527.0,2.0
141,兄,5,2.0,1333.0,4.0
142,充,6,8.0,1080.0,3.0
143,兆,6,4.0,679.0,1.0
144,先,6,1.0,39.0,1.0
145,光,6,2.0,56.0,2.0
146,克,7,8.0,75.0,2.0
147,免,8,8.0,92.0,4.0
148,児,7,4.0,118.0,2.0
149,党,10,6.0,93.0,4.0
150,入,2,1.0,174.0,2.0
151,全,6,3.0,522.0,4.0
152,八,2,1.0,629.0,2.0
153,公,4,2.0,1055.0,2.0
154,六,4,1.0,1164.0,2.0
155,共,6,4.0,44.0,1.0
156,兵,7,4.0,69.0,1.0
157,具,8,3.0,1313.0,2.0
158,典,8,4.0,275.0,4.0
159,兼,10,8.0,1317.0,2.0
160,内,4,2.0,1782.0,2.0
161,円,4,1.0,453.0,1.0
162,冊,5,6.0,1503.0,1.0
163,再,6,5.0,2349.0,3.0
164,冒,9,8.0,1090.0,1.0
165,冗,4,8.0,667.0,3.0
166,写,5,3.0,2313.0,1.0
167,冠,9,8.0,1441.0,2.0
168,冥,10,8.0,1284.0,1.0
169,冬,5,2.0,1712.0,2.0
170,冶,7,8.0,1730.0,1.0
171,冷,7,4.0,547.0,1.0
172,凄,10,8.0,1673.0,2.0
173,准,10,8.0,2143.0,1.0
174,凍,10,8.0,2206.0,1.0
175,凝,16,8.0,13.0,1.0
176,凡,3,8.0,1794.0,4.0
177,処,5,6.0,1763.0,1.0
178,凶,4,8.0,24.0,1.0
179,凸,5,8.0,324.0,4.0
180,凹,5,8.0,855.0,3.0
181,出,5,1.0,864.0,2.0
182,刀,2,2.0,927.0,1.0
183,刃,3,8.0,152.0,2.0
184,分,4,2.0,197.0,2.0
185,切,4,2.0,214.0,2.0
186,刊,5,5.0,203.0,3.0
187,刑,6,8.0,1032.0,2.0
188,列,6,3.0,108.0,2.0
189,初,7,4.0,1352.0,2.0
190,判,7,5.0,583.0,2.0
191,別,7,4.0,1031.0,2.0
192,利,7,4.0,866.0,2.0
193,到,8,8.0,753.0,2.0
194,制,8,5.0,814.0,2.0
195,刷,8,4.0,27.0,1.0
196,券,8,6.0,1918.0,4.0
197,刹,8,8.0,1576.0,1.0
198,刺,8,8.0,1305.0,1.0
199,刻,8,6.0,1151.0,1.0
200,則,9,5.0,360.0,1.0
201,削,9,8.0,1448.0,2.0
202,前,9,2.0,318.0,1.0
203,剖,10,8.0,741.0,2.0
204,剛,10,8.0,662.0,1.0
205,剝,10,8.0,62.0,2.0
206,剣,10,8.0,857.0,3.0
207,剤,10,4.0,130.0,1.0
208,副,11,8.0,1620.0,2.0
209,剰,11,6.0,397.0,1.0
210,割,12,6.0,749.0,2.0
211,創,12,6.0,1254.0,2.0
212,劇,15,1.0,398.0,1.0
213,力,2,4.0,538.0,2.0
214,功,5,4.0,2085.0,2.0
215,加,5,8.0,2157.0,1.0
216,劣,6,3.0,1319.0,1.0
217,助,7,4.0,1066.0,2.0
218,努,7,8.0,73.0,3.0
219,励,7,4.0,1494.0,3.0
220,労,7,5.0,111.0,1.0
221,効,8,8.0,185.0,2.0
222,劾,8,8.0,809.0,2.0
223,勃,9,8.0,260.0,2.0
224,勅,9,4.0,830.0,2.0
225,勇,9,3.0,1068.0,2.0
226,勉,10,3.0,1513.0,1.0
227,動,11,8.0,954.0,1.0
228,勘,11,5.0,89.0,2.0
229,務,11,3.0,153.0,2.0
230,勝,12,8.0,1718.0,4.0
231,募,12,5.0,1384.0,1.0
232,勢,13,6.0,137.0,2.0
233,勤,12,8.0,437.0,3.0
234,勧,13,8.0,2024.0,3.0
235,勲,15,8.0,8.0,1.0
236,勾,4,4.0,195.0,4.0
237,包,5,3.0,2077.0,4.0
238,化,4,2.0,154.0,1.0
239,北,5,8.0,224.0,4.0
240,匠,6,8.0,2003.0,4.0
241,匹,4,3.0,772.0,1.0
242,区,4,3.0,1348.0,2.0
243,医,7,8.0,121.0,1.0
244,匿,10,1.0,341.0,2.0
245,十,2,1.0,586.0,4.0
246,千,3,8.0,794.0,2.0
247,升,4,2.0,694.0,1.0
248,午,4,2.0,682.0,2.0
249,半,5,8.0,606.0,2.0
250,卑,9,4.0,1167.0,2.0
251,卒,8,8.0,959.0,1.0
252,卓,8,4.0,1342.0,1.0
253,協,8,2.0,2123.0,2.0
254,南,9,4.0,1835.0,1.0
255,単,9,4.0,768.0,1.0
256,博,12,8.0,172.0,2.0
257,占,5,4.0,638.0,2.0
258,印,6,6.0,440.0,1.0
259,危,6,8.0,201.0,3.0
260,即,7,8.0,544.0,2.0
261,却,7,6.0,622.0,1.0
262,卵,7,8.0,1029.0,4.0
263,厄,4,8.0,191.0,2.0
264,厘,9,5.0,337.0,2.0
265,厚,9,2.0,1950.0,2.0
266,原,10,6.0,122.0,1.0
267,厳,17,3.0,136.0,2.0
268,去,5,4.0,1954.0,2.0
269,参,8,8.0,284.0,1.0
270,及,3,2.0,509.0,4.0
271,友,4,8.0,1244.0,4.0
272,双,4,3.0,1426.0,1.0
273,反,4,6.0,1540.0,2.0
274,収,4,8.0,314.0,2.0
275,叔,8,3.0,262.0,2.0
276,取,8,3.0,511.0,3.0
277,受,8,8.0,602.0,2.0
278,叙,9,1.0,585.0,4.0
279,口,3,2.0,759.0,2.0
280,古,5,5.0,243.0,2.0
281,句,5,8.0,41.0,2.0
282,叫,6,8.0,711.0,3.0
283,召,5,5.0,15.0,1.0
284,可,5,2.0,177.0,3.0
285,台,5,5.0,1583.0,4.0
286,史,5,1.0,1674.0,1.0
287,右,5,3.0,182.0,1.0
288,号,5,4.0,947.0,1.0
289,司,5,4.0,1956.0,2.0
290,各,6,2.0,561.0,2.0
291,合,6,8.0,466.0,1.0
292,吉,6,2.0,1054.0,2.0
293,同,6,1.0,1133.0,2.0
294,名,6,6.0,2055.0,2.0
295,后,6,8.0,1571.0,2.0
296,吏,6,8.0,1729.0,1.0
297,吐,6,3.0,188.0,1.0
298,向,6,3.0,562.0,1.0
299,君,7,8.0,2131.0,2.0
300,吟,7,6.0,442.0,2.0
301,否,7,8.0,498.0,3.0
302,含,7,6.0,465.0,2.0
303,吸,6,8.0,124.0,2.0
304,吹,7,8.0,1715.0,2.0
305,呂,7,8.0,225.0,1.0
306,呈,7,8.0,54.0,3.0
307,呉,7,5.0,1093.0,3.0
308,告,7,4.0,2461.0,1.0
309,周,8,8.0,1278.0,1.0
310,呪,8,3.0,1992.0,1.0
311,味,8,6.0,1727.0,1.0
312,呼,8,3.0,1292.0,1.0
313,命,8,3.0,1123.0,1.0
314,和,8,8.0,413.0,2.0
315,咽,9,8.0,64.0,3.0
316,哀,9,3.0,1403.0,1.0
317,品,9,3.0,765.0,2.0
318,員,10,8.0,2390.0,1.0
319,哲,10,8.0,1120.0,2.0
320,哺,10,8.0,769.0,1.0
321,唆,10,8.0,1858.0,1.0
322,唇,10,8.0,885.0,2.0
323,唐,10,8.0,1347.0,2.0
324,唯,11,4.0,303.0,1.0
325,唱,11,8.0,2480.0,1.0
326,唾,11,3.0,2310.0,1.0
327,商,11,3.0,1584.0,2.0
328,問,11,8.0,1903.0,1.0
329,啓,11,6.0,525.0,1.0
330,善,12,8.0,1270.0,1.0
331,喉,12,8.0,2141.0,4.0
332,喚,12,5.0,2107.0,3.0
333,喜,12,8.0,47.0,2.0
334,喝,11,8.0,50.0,2.0
335,喩,12,8.0,636.0,2.0
336,喪,12,8.0,213.0,2.0
337,喫,12,5.0,843.0,3.0
338,営,12,8.0,771.0,2.0
339,嗅,13,8.0,539.0,4.0
340,嗣,13,8.0,750.0,1.0
341,嘆,13,8.0,3.0,2.0
342,嘱,15,8.0,1216.0,4.0
343,嘲,15,4.0,628.0,2.0
344,器,15,8.0,307.0,2.0
345,噴,15,8.0,718.0,3.0
346,嚇,17,8.0,211.0,2.0
347,囚,5,1.0,40.0,2.0
348,四,5,2.0,865.0,2.0
349,回,6,5.0,715.0,1.0
350,因,6,5.0,1832.0,1.0
351,団,6,6.0,2040.0,2.0
352,困,7,5.0,1720.0,2.0
353,囲,7,2.0,482.0,2.0
354,図,7,4.0,1110.0,2.0
355,固,8,2.0,795.0,1.0
356,国,8,8.0,396.0,1.0
357,圏,12,2.0,800.0,2.0
358,園,13,1.0,1431.0,3.0
359,土,3,5.0,241.0,1.0
